Date,Close,High,Low,Open,Volume
2013-01-02,48.714149475097656,48.83792929194112,48.342815271030894,48.83792929194112,12874200
2013-01-03,48.64539337158203,48.82418764040206,48.44597000375675,48.810436656553435,9598300
2013-01-04,49.202415466308594,49.326195332438225,48.83107586791971,48.98923582402295,11631800
2013-01-07,49.09925079345703,49.188645297821516,48.95484186496167,49.1680162003885,7548800
2013-01-08,49.10614013671875,49.271178200384796,48.99611126329775,49.0373694675979,9825300
2013-01-09,49.32619094848633,49.4087073542618,49.16802575997456,49.26429839768946,7672800
2013-01-10,49.642513275146484,49.7731659923999,49.33306103157108,49.381197347709694,11888500
2013-01-11,49.752532958984375,49.9106981260591,49.621880252059576,49.64250935070746,7766700
2013-01-14,49.89694595336914,50.05511113330512,49.76629323582028,49.92445316929127,7386000
2013-01-15,49.76627731323242,49.814413614078816,49.511839582208175,49.68375569186862,7795100
2013-01-16,49.91067886352539,50.07571683547827,49.68374837305111,49.69062648543405,8779900
2013-01-17,50.13075637817383,50.206399912927765,49.766294936067695,50.11700014651029,10570100
2013-01-18,50.3576774597168,50.3576774597168,50.055103377918314,50.13074689836794,13558600
2013-01-22,49.986331939697266,50.343915155199255,49.80065959501344,50.14449182957685,11469800
2013-01-23,50.09634780883789,50.137611238223734,49.835037239553635,49.86941730983532,10155100
2013-01-24,50.26828384399414,50.35768360441462,50.08948956961799,50.172011214668096,9369700
2013-01-25,50.8321647644043,50.839042879250854,50.24077280274643,50.28890911374349,10421500
2013-01-28,50.6258659362793,50.88717657591501,50.495207993229364,50.859669364406386,9420900
2013-01-29,51.16912078857422,51.313529711972016,50.63961615631823,50.66024525302305,12386500
2013-01-30,50.949066162109375,51.43731263030175,50.89405698307822,51.19662583037489,9245500
2013-01-31,50.8321647644043,51.13473886007979,50.73589214241017,50.94219361609154,10448700
2013-02-01,51.01097106933594,51.17600913936943,50.94220564402745,50.98346384991941,10016300
2013-02-04,50.96284103393555,51.0591136905371,50.58462327838209,50.58462327838209,9200700
2013-02-05,51.3410530090332,51.45107664141908,51.21039502701338,51.22414601363697,10230800
2013-02-06,51.84303665161133,51.84303665161133,51.24476652767964,51.27915185817387,12084000
2013-02-07,51.61609649658203,51.71236910836723,51.354785871231336,51.45105848301653,9798200
2013-02-08,51.90491485595703,51.99430934549169,51.38916651983309,51.691735309430705,8153300
2013-02-11,51.856788635253906,51.91867592931707,51.60922896607246,51.767388881876805,5697100
2013-02-12,52.12498092651367,52.16623912534516,51.863665010008255,51.863665010008255,7598900
2013-02-13,52.028709411621094,52.173118357086246,51.829286035560216,52.11810392649051,8014800
2013-02-14,52.131858825683594,52.324404100762735,51.8361627971077,51.91868444919815,9681800
2013-02-15,52.372535705566406,52.372535705566406,51.925552689733095,52.06996161857815,10528400
2013-02-19,52.92268371582031,52.95019093809137,52.2350188984425,52.2831552258003,9747400
2013-02-20,52.70948791503906,52.92954035745758,52.633844396101686,52.805760530693156,7857500
2013-02-21,52.86077880859375,52.963924299700835,52.52381938276241,52.58571192389112,9465700
2013-02-22,52.8538703918457,53.020228634284976,52.659784894261016,52.95091314063804,8571500
2013-02-25,52.38249588012695,53.138048725915134,52.38249588012695,53.00634564077064,10603300
2013-02-26,52.507266998291016,52.91623195197599,52.33397568806563,52.59737657577302,10742100
2013-02-27,52.90236282348633,52.9924723870853,52.40328308078065,52.45873756073246,8180300
