Date,Close,High,Low,Open,Volume
2013-01-02,47.286258697509766,47.286258697509766,46.577543424850326,46.78198242240389,9987000
2013-01-03,46.98643493652344,47.36123818163028,46.97962411323186,47.3203524454738,7741900
2013-01-04,47.08184051513672,47.13635829846695,46.802445973997735,47.02732793090846,5853700
2013-01-07,46.761566162109375,46.966000076852545,46.59801279139168,46.966000076852545,5269800
2013-01-08,46.68657684326172,46.836498074843995,46.611616227470584,46.69338766353405,7362000
2013-01-09,46.938720703125,47.095457981905184,46.75472974021818,46.86376007402583,5762900
2013-01-10,47.20449447631836,47.21812651926115,46.80243759422389,47.00687664555734,12855000
2013-01-11,47.170413970947266,47.22493173203847,47.02730874740774,47.22493173203847,12193500
2013-01-14,47.449806213378906,47.68150408779852,47.17722781867293,47.231740378154356,11570700
2013-01-15,47.620201110839844,47.67471890468354,47.12274053954934,47.129556563555546,7563400
2013-01-16,47.63528823852539,47.88260196430895,47.477285450040014,47.69024800897778,7061000
2013-01-17,47.86199951171875,48.06122477427308,47.63529436040663,47.78643112794804,6263300
2013-01-18,48.0474967956543,48.088714016181214,47.86200882077542,47.87575138845365,10610800
2013-01-22,48.054351806640625,48.07496565342574,47.916957608922566,47.9925259900433,8313600
2013-01-23,48.562721252441406,48.56958729336327,47.95130817022847,47.978782816421145,10588600
2013-01-24,48.377227783203125,48.67262998785001,48.226091040185835,48.55584441051919,8877200
2013-01-25,50.3214111328125,50.3214111328125,49.29093854988801,49.29093854988801,28760300
2013-01-28,50.67862319946289,50.99463930332819,50.28017791084472,50.651148551629575,14010000
2013-01-29,51.523616790771484,51.7365793963056,50.50688177994879,50.5274956293179,17576700
2013-01-30,51.57855987548828,51.85335345766289,51.296895012415106,51.35185477710036,12677800
2013-01-31,51.63352584838867,51.702222941879285,51.2969011801558,51.4068207227426,11661500
2013-02-01,52.1556396484375,52.189990823512595,51.64040346983168,51.72971442852556,12204000
2013-02-04,51.69534683227539,52.07318867306516,51.489250329798836,51.99762030490721,11086000
