Date,AAPL,AMZN,GOOGL,JNJ,JPM,MSFT,NVDA,PG,V,XOM
2013-01-02,16.581403732299805,12.865500450134277,17.940269470214844,48.714149475097656,31.340900421142578,22.144264221191406,0.29307693243026733,47.286258697509766,35.27124786376953,51.6924934387207
2013-01-03,16.37210464477539,12.923999786376953,17.950687408447266,48.64539337158203,31.277742385864258,21.847614288330078,0.29330727458000183,46.98643493652344,35.29848861694336,51.59926986694336
2013-01-04,15.916069030761719,12.957500457763672,18.305397033691406,49.202415466308594,31.832124710083008,21.438720703125,0.3029843270778656,47.08184051513672,35.58677673339844,51.83817672729492
2013-01-07,15.82244873046875,13.42300033569336,18.225528717041016,49.09925079345703,31.86722183227539,21.398639678955078,0.29422882199287415,46.761566162109375,35.84101486206055,51.237979888916016
2013-01-08,15.865025520324707,13.319000244140625,18.189559936523438,49.10614013671875,31.930377960205078,21.286388397216797,0.2877775728702545,46.68657684326172,36.1746940612793,51.558494567871094
2013-01-09,15.61707592010498,13.317500114440918,18.309118270874023,49.32619094848633,31.909326553344727,21.406661987304688,0.281326025724411,46.938720703125,36.726314544677734,51.360355377197266
2013-01-10,15.810667037963867,13.267000198364258,18.392465591430664,49.642513275146484,32.38652801513672,21.21424102783203,0.2817869484424591,47.20449447631836,36.435752868652344,51.919761657714844
2013-01-11,15.713724136352539,13.397000312805176,18.355506896972656,49.752532958984375,32.379520416259766,21.510889053344727,0.281326025724411,47.170413970947266,36.58331298828125,52.216949462890625
2013-01-14,15.153485298156738,13.636500358581543,17.940269470214844,49.89694595336914,32.19706344604492,21.55898666381836,0.2810956835746765,47.449806213378906,36.467533111572266,52.199462890625
2013-01-15,14.675400733947754,13.595000267028809,17.981943130493164,49.76627731323242,32.52688217163086,21.815553665161133,0.2760268449783325,47.620201110839844,36.42214584350586,52.17033386230469
2013-01-16,15.28455924987793,13.446499824523926,17.74034309387207,49.91067886352539,32.85672378540039,21.67925262451172,0.27856114506721497,47.63528823852539,36.36538314819336,52.1353874206543
2013-01-17,15.181570053100586,13.52400016784668,17.644344329833984,50.13075637817383,32.590057373046875,21.847614288330078,0.28224772214889526,47.86199951171875,36.29273986816406,52.56077194213867
2013-01-18,15.10063362121582,13.605999946594238,17.475421905517578,50.3576774597168,32.604095458984375,21.847614288330078,0.28040453791618347,48.0474967956543,35.927276611328125,52.910377502441406
