Date,AAPL,MSFT,GOOGL,AMZN,JPM,JNJ,V,PG,XOM,NVDA
2013-01-03,-0.012622519233200347,-0.013396242471557906,0.0005807013238969816,0.004546992670002581,-0.0020151953016548374,-0.0014114195620057446,0.0007723217868287335,-0.00634061076610648,-0.0018034257118560992,0.0007859443178432901
2013-01-04,-0.02785442824293205,-0.018715708718067825,0.019760225175400326,0.002592128748101219,0.017724499338203525,0.011450664823937196,0.00816715184560901,0.002030491965227199,0.0046300434282815495,0.03299288267473344
2013-01-07,-0.005882124544196565,-0.00186956230854185,-0.004363102122471929,0.03592512919038926,0.001102569260206021,-0.0020967400050146967,0.007144174100586875,-0.006802502823235579,-0.011578278332132763,-0.028897551135512622
2013-01-08,0.0026909102744614444,-0.0052457204487010856,-0.0019735383854155852,-0.0077479020302329005,0.0019818523328483106,0.00014031463108676867,0.009309981888151464,-0.001603652850028392,0.006255412091771495,-0.021925959118905824
2013-01-09,-0.015628692175885917,0.00565025817642284,0.00657290966729307,-0.0001126308035293011,-0.0006592908761240412,0.0044811262126267515,0.015248794708919933,0.005400778487353763,-0.0038429979838333628,-0.02241851955834029
2013-01-10,0.012396118124114563,-0.008988835325506206,0.004552230168791249,-0.003791996669247233,0.014954921126092202,0.006412867496509156,-0.007911539168241943,0.005662143518446294,0.010891791468521372,0.0016383934506636333
2013-01-11,-0.00613148713957179,0.013983438065189757,-0.002009447524818353,0.009798757254631418,-0.0002163738846497898,0.002216239198610026,0.004049871568754249,-0.0007219758573663304,0.005723982462304322,-0.0016357135083643337
2013-01-14,-0.03565283654813123,0.0022359657173796066,-0.02262195367790676,0.017877139671889752,-0.0056349497419739825,0.002902625972909023,-0.0031648275470860243,0.005923039865703084,-0.0003348830685342419,-0.0008187729846229619
2013-01-15,-0.03154947886920367,0.011900698550612265,0.0023229116121978866,-0.0030433095340784977,0.010243751767568421,-0.002618770300267137,-0.0012445938673050216,0.0035910557083136396,-0.0005580331043126829,-0.01803243127707932
2013-01-16,0.04150881648642435,-0.00624788363116735,-0.013435702408122752,-0.010923165839505922,0.010140585009934089,0.0029015943745218653,-0.0015584665317741608,0.00031682200691340867,-0.000669852750849298,0.009181353679861504
2013-01-17,-0.006738120157319338,0.0077660271197728115,-0.005411325109673126,0.005763607208874255,-0.008116037803866716,0.004409427394289844,-0.001997594243219325,0.004759313558850398,0.008159228165931953,0.013234354995169006
