Date,Close,High,Low,Open,Volume
2013-01-02,35.27124786376953,35.398367261835986,34.94209521637283,34.99430769066312,15826400
2013-01-03,35.29848861694336,35.884148843729065,35.14413032931848,35.66395863763639,14937200
2013-01-04,35.58677673339844,35.68211627960854,35.135045667164704,35.32118725529663,10376000
2013-01-07,35.84101486206055,36.040775886859414,35.59358579690792,35.62536564505832,10242400
2013-01-08,36.1746940612793,36.1746940612793,35.641243060330346,35.78652281705265,11800400
2013-01-09,36.726314544677734,36.89883669603234,36.25415777187514,36.63778471680927,17552800
2013-01-10,36.435752868652344,36.948774861794,36.1542752081612,36.78079368807823,16313600
2013-01-11,36.58331298828125,36.603742152602656,36.20649223776821,36.27005194704217,9578000
2013-01-14,36.467533111572266,36.730853830929256,36.217835295969856,36.610544159174424,8877600
2013-01-15,36.42214584350586,36.46754514643936,36.11342573431533,36.27913821245256,6696000
2013-01-16,36.36538314819336,36.49704350533913,36.163353376515644,36.34495398856994,5464400
2013-01-17,36.29273986816406,36.5674077677181,36.23144893418579,36.54697861097304,7833600
2013-01-18,35.927276611328125,35.98629534079274,35.52548580205725,35.9840265886477,13812400
2013-01-22,36.10432815551758,36.24733571090198,35.816037365627324,36.02033585260101,6918000
2013-01-23,36.10432815551758,36.310898857869766,35.8841380158662,35.93180604641335,7108800
2013-01-24,36.22010040283203,36.35857046858024,36.0702796503025,36.16108168080977,6794000
2013-01-25,36.28366470336914,36.35176536896824,36.09979533087219,36.301825111778484,6701600
2013-01-28,35.49143981933594,36.45164853656876,35.48008913028595,36.38354786601279,13532000
2013-01-29,35.561805725097656,35.65941402103724,35.21222393389827,35.352966229459426,11664000
2013-01-30,35.18724822998047,36.11340810544427,35.12822951135156,35.63671046172672,18708000
2013-01-31,35.845542907714844,36.20647179525336,35.49142373777197,36.09297188366949,16685600
2013-02-01,35.993106842041016,36.20194635326196,35.71843887791917,36.092987361264925,12738400
2013-02-04,35.55952835083008,35.95677812445646,35.539099193770504,35.8137705612963,10532000
2013-02-05,36.21328353881836,36.22917518992553,35.593574956748434,35.7797130210135,11105200
2013-02-06,36.50613021850586,36.51974966003716,36.00672760406455,36.14292894686564,15056800
2013-02-07,35.652610778808594,36.27231965831147,35.62991286257343,36.08845025720853,20182800
2013-02-08,35.820587158203125,36.07936692187529,35.66168791099106,35.72978511426494,12914000
2013-02-11,35.48690414428711,35.90458323917466,35.3983742984822,35.77065409414189,11032400
2013-02-12,35.59359359741211,35.79789217118856,35.507332506209224,35.60267207155453,9805600
2013-02-13,35.20686721801758,35.80286009555404,35.063554575751084,35.58902963599715,13917600
2013-02-14,35.48210906982422,35.63451930676656,35.099946709320626,35.16819097970992,12760000
2013-02-15,35.93935012817383,35.95982237189335,35.42752320889513,35.56628531251929,17884400
2013-02-19,35.8529167175293,36.121339907480746,35.636812654745626,35.943906805738415,13210000
2013-02-20,35.354736328125,35.85291519690676,35.302417203176226,35.7414493931862,15688800
2013-02-21,35.81423568725586,36.00759043810056,35.211415241444,35.28648360508314,14220800
2013-02-22,36.26691436767578,36.30103824297277,35.64362517641032,36.0098658898893,11738000
2013-02-25,35.46165084838867,36.47620727592003,35.46165084838867,36.21460471452144,11183200
2013-02-26,35.90296173095703,36.07584428419857,35.48894885283876,35.48894885283876,11354000
2013-02-27,36.36701583862305,36.419338434721965,35.782397429895966,35.81651784383071,8318000
2013-02-28,36.08721923828125,36.473932317023404,36.01215085406464,36.473932317023404,11228000
2013-03-01,35.95982360839844,36.13725666883234,35.63452735023723,35.92569972997742,13212000
2013-03-04,36.2828369140625,36.291934530855066,35.839254335655035,35.88702289814999,6570000
2013-03-05,36.462547302246094,36.801491703336175,36.3647331595235,36.41705227142051,10267600
2013-03-06,36.637718200683594,36.783304427195354,36.44208638339753,36.59222315572044,7516000
2013-03-07,36.51259994506836,36.8014988268568,36.31696815070715,36.59449240482536,8687200
2013-03-08,36.54899597167969,36.71505442197676,36.37156289414607,36.70140625771246,9571600
2013-03-11,36.66501235961914,36.76055646074132,36.48985627334335,36.70823386463888,6742000
2013-03-12,36.35109329223633,36.61724292789874,36.17593373898787,36.55127216775684,8340800
2013-03-13,36.253273010253906,36.48757575286628,36.13498660595856,36.28284634685219,11021600
2013-03-14,36.54671859741211,36.6399856714907,36.23734751272472,36.260093293760704,14853600
2013-03-15,36.06675720214844,36.5421869657636,36.06220665516662,36.40342478674598,17599600
2013-03-18,35.95756149291992,36.2100595297751,35.57766899124759,35.77785136754684,15162800
2013-03-19,35.48667526245117,36.24873025426328,35.413880416321966,35.9416326376108,17652400
2013-03-20,36.24418258666992,36.38976881943964,35.650463026098976,35.71415678599513,16070400
2013-03-21,35.8961296081543,36.33516171140406,35.8961296081543,36.04398933376571,14883200
2013-03-22,36.41704177856445,36.43296694384148,35.87791870296986,35.989384446766984,18790400
2013-03-25,37.30651092529297,37.370204690652166,36.51033538725318,36.56720506854174,19336800
2013-03-26,38.09358596801758,38.16637734963001,37.42934508615003,37.511237559870025,17264800
2013-03-27,38.366554260253906,38.49621530040207,37.64999434947498,37.90022228105793,13371200
2013-03-28,38.63496398925781,38.88974237760259,38.24597753310265,38.387013152170844,12456400
2013-04-01,38.068546295166016,38.89656828635432,37.96617814510953,38.61449356390957,13235200
2013-04-02,38.205039978027344,38.421144009263394,38.059453775516324,38.31195522514234,9582000
2013-04-03,37.477115631103516,38.33698483497082,37.3702003649727,38.311962039258304,16624800
2013-04-04,37.87065505981445,37.88202968964179,37.536261074978796,37.62952818009344,8903600
2013-04-05,37.57038116455078,37.62952437420159,37.21323795618231,37.35427710388705,7962400
2013-04-08,37.827430725097656,37.845629437252846,37.41569484185368,37.679570961529734,6125600
2013-04-09,37.477115631103516,37.961646370332524,37.308780144396614,37.950271741181474,6004400
2013-04-10,37.98666763305664,38.057185471478064,37.527159708084035,37.527159708084035,8996400
2013-04-11,38.129981994628906,38.193675758643415,37.811513174556346,37.98894629874675,6590000
2013-04-12,37.70459747314453,37.95027490488013,37.55673769500309,37.74099490104235,7076800
2013-04-15,36.690032958984375,37.50668401787334,36.690032958984375,37.44753734252123,10774000
2013-04-16,37.468021392822266,37.488493644512594,36.96529189577778,36.99941231526166,10092000
2013-04-17,36.903865814208984,37.31332813829607,36.83789852332376,37.24736084741085,9543600
2013-04-18,36.71732711791992,37.167733840989726,36.685480248027076,36.98575023972411,21010800
2013-04-19,37.29740524291992,37.33152565589908,36.79467584171585,36.869744221319124,7620400
2013-04-22,37.199588775634766,37.38612296191037,36.96301247243443,37.208689866747804,5403600
2013-04-23,37.684120178222656,37.68866725281401,37.1995894634472,37.36792494165845,6324000
2013-04-24,38.002601623535156,38.118618014235516,37.67048457306268,37.68413274348614,7447200
