Date,AAPL,MSFT,GOOGL,AMZN,JPM,JNJ,V,PG,XOM,NVDA
2013-01-02,16.581403732299805,22.144264221191406,17.940269470214844,12.865500450134276,31.340900421142575,48.714149475097656,35.27124786376953,47.286258697509766,51.6924934387207,0.2930769324302673
2013-01-03,16.37210464477539,21.84761428833008,17.950687408447266,12.923999786376951,31.277742385864254,48.64539337158203,35.29848861694336,46.98643493652344,51.59926986694336,0.2933072745800018
2013-01-04,15.91606903076172,21.438720703125,18.305397033691406,12.957500457763672,31.832124710083008,49.202415466308594,35.58677673339844,47.08184051513672,51.83817672729492,0.3029843270778656
2013-01-07,15.82244873046875,21.39863967895508,18.225528717041016,13.42300033569336,31.86722183227539,49.09925079345703,35.84101486206055,46.761566162109375,51.237979888916016,0.2942288219928741
2013-01-08,15.865025520324709,21.2863883972168,18.18955993652344,13.319000244140623,31.93037796020508,49.10614013671875,36.1746940612793,46.68657684326172,51.55849456787109,0.2877775728702545
2013-01-09,15.61707592010498,21.406661987304688,18.309118270874023,13.317500114440918,31.909326553344727,49.32619094848633,36.72631454467773,46.938720703125,51.36035537719727,0.281326025724411
2013-01-10,15.810667037963867,21.21424102783203,18.392465591430664,13.267000198364258,32.38652801513672,49.64251327514648,36.43575286865234,47.20449447631836,51.91976165771485,0.2817869484424591
2013-01-11,15.71372413635254,21.510889053344727,18.355506896972656,13.397000312805176,32.379520416259766,49.752532958984375,36.58331298828125,47.17041397094727,52.21694946289063,0.281326025724411
2013-01-14,15.153485298156738,21.55898666381836,17.940269470214844,13.636500358581545,32.19706344604492,49.89694595336914,36.467533111572266,47.449806213378906,52.199462890625,0.2810956835746765
2013-01-15,14.675400733947754,21.815553665161133,17.981943130493164,13.595000267028809,32.52688217163086,49.76627731323242,36.42214584350586,47.62020111083984,52.17033386230469,0.2760268449783325
2013-01-16,15.28455924987793,21.67925262451172,17.74034309387207,13.446499824523926,32.85672378540039,49.91067886352539,36.36538314819336,47.63528823852539,52.1353874206543,0.2785611450672149
2013-01-17,15.181570053100586,21.84761428833008,17.644344329833984,13.52400016784668,32.590057373046875,50.13075637817383,36.29273986816406,47.86199951171875,52.56077194213867,0.2822477221488952
2013-01-18,15.10063362121582,21.84761428833008,17.475421905517578,13.605999946594238,32.604095458984375,50.3576774597168,35.927276611328125,48.0474967956543,52.910377502441406,0.2804045379161834
2013-01-22,15.244693756103516,21.76744079589844,17.43474006652832,13.509499549865724,32.66023635864258,49.98633193969727,36.10432815551758,48.05435180664063,52.98030471801758,0.2790220379829407
2013-01-23,15.523755073547363,22.13624382019043,18.39295959472656,13.405500411987305,32.44267654418945,50.09634780883789,36.10432815551758,48.562721252441406,52.85211563110352,0.279482901096344
2013-01-24,13.605672836303713,22.15228843688965,18.708234786987305,13.67300033569336,32.54092788696289,50.26828384399414,36.22010040283203,48.377227783203125,53.23088455200195,0.280865341424942
2013-01-25,13.284934997558594,22.352724075317383,18.694839477539062,14.19950008392334,33.09532165527344,50.8321647644043,36.28366470336914,50.3214111328125,53.45230484008789,0.2859342694282532
2013-01-28,13.585436820983888,22.37677574157715,18.62191200256348,13.802000045776367,32.73039627075195,50.6258659362793,35.49143981933594,50.67862319946289,53.09103775024414,0.2905423939228058
2013-01-29,13.840335845947266,22.456951141357425,18.69508934020996,13.017499923706056,33.067256927490234,51.16912078857422,35.561805725097656,51.52361679077149,53.46978759765625,0.2843213379383087
2013-01-30,13.796847343444824,22.328659057617188,18.698808670043945,13.637999534606934,33.07426834106445,50.949066162109375,35.18724822998047,51.57855987548828,52.83463287353516,0.2838606536388397
2013-01-31,13.75637435913086,22.007970809936523,18.74494361877441,13.274999618530272,33.01811599731445,50.8321647644043,35.845542907714844,51.63352584838867,52.42673110961914,0.2824782431125641
2013-02-01,13.699899673461914,22.39281272888184,19.238813400268555,13.25,33.57953643798828,51.01097106933594,35.993106842041016,52.1556396484375,52.46751403808594,0.2850126028060913
