Date,AAPL,AMZN,GOOGL,JNJ,JPM,MSFT,NVDA,PG,V,XOM
2013-01-03,-0.012622292078304231,0.004546992670002581,0.0005808077022564362,-0.0014114977592619704,-0.0020153170179174618,-0.01339572452063409,0.0007855374072405219,-0.006341093266015951,0.000771889090666722,-0.001803499108544937
2013-01-04,-0.02785466124274172,0.002592128748100997,0.019760543940123165,0.011450586405468366,0.01772511131019394,-0.018716046489883564,0.032992990987279924,0.002030817208671154,0.008167478702696185,0.004630116672966755
2013-01-07,-0.0058820660350248355,0.03592512919038926,-0.004363517542376183,-0.0020964300447886552,0.0011020893800299802,-0.001870006646757516,-0.02889716052756186,-0.006803069430847297,0.007144388489054299,-0.011578349364599672
2013-01-08,0.002691573769620259,-0.0077479020302327894,-0.00197322463417382,0.00014015921123000652,0.0019817326268605218,-0.005245453981478687,-0.02192635761460615,-0.0016029194360243082,0.009310086340186485,0.006255336709765746
2013-01-09,-0.015629766670976708,-0.00011263080352952315,0.006572698569821123,0.004481125864520985,-0.0006591117510413858,0.005649988857725496,-0.022418107638896068,0.0054006137462190296,0.015248368076623997,-0.003842997699498918
2013-01-10,0.012396858487900397,-0.003791996669247233,0.004552230168791249,0.006412634992157384,0.014955338650271655,-0.00898865872589183,0.0016379691893990689,0.005662061788559658,-0.007911332253519143,0.010891716386371986
2013-01-11,-0.006131727673504672,0.009798757254631418,-0.002009447524818353,0.002216162695849677,-0.00021731607462860403,0.013983348156310527,-0.0016352906337253614,-0.0007216526087175934,0.004049766448217307,0.0057240559352391696
2013-01-14,-0.03565235535137634,0.01787713967188953,-0.022622057589427258,0.0029027033140180958,-0.005634598961156478,0.002236497929579029,-0.0008187727244124421,0.0059226335970925525,-0.0031646189986002105,-0.00033495609883460453
2013-01-15,-0.03154978162742683,-0.0030433095340783867,0.002322805542540607,-0.0026180826369172072,0.010243871460923204,0.011899985517277,-0.01803284962938434,0.003590814813885901,-0.0012453258438742676,-0.0005580331043126829
2013-01-16,0.04150874880444677,-0.010923165839505922,-0.013435599188138414,0.002901516165414897,0.010140585009934089,-0.0062477104085374435,0.009181678577979913,0.00031722264207045825,-0.00155773419794758,-0.0006700721109903496
2013-01-17,-0.0067375586057097925,0.005763607208874255,-0.005411325691470514,0.004408890359071105,-0.008116037803866716,0.007766731646039915,0.013234459149993327,0.004759153015069906,-0.0019972791267861556,0.008159229956941516
2013-01-18,-0.005331666063510543,0.006063278447933751,-0.009573636292192322,0.004526888760440606,0.0004302793023014395,0.0,-0.006530692406499394,0.0038757493483363437,-0.010070392579133225,0.006651600669101088
2013-01-22,0.009539562682311598,-0.007092488395362029,-0.0023278368820257578,-0.007374081563425006,0.0017218979745321494,-0.0036702769378081923,-0.004930163894177997,0.00014259215871748054,0.0049286906516374795,0.001321760556510787
2013-01-23,0.018305728136906563,-0.007698222831611257,0.05496024101104213,0.0022010709864090927,-0.00666095828611224,0.01694322530354686,0.0016514946763810379,0.010579448905900124,0.0,-0.002419992986988473
2013-01-24,-0.12355782427099027,0.01995448998433913,0.017141080022332833,0.0034313441431359504,0.0030281074404925334,0.000724036343643153,0.004946635117281106,-0.0038198238394147044,0.003206178346351507,0.0071667270546220685
2013-01-25,-0.023573831489560715,0.03850652638803442,-0.000715909451218022,0.011217584485705867,0.017037174671073574,0.009048598720838852,0.01804721613186544,0.04018758532896194,0.0017546291244843193,0.00415997988842598
2013-01-28,0.0226198153889976,-0.027993945969761458,-0.00390104311787165,-0.004058206372893114,-0.011026034785048267,0.0010759206250630093,0.016116133216167228,0.007099217955747639,-0.021833784294116754,-0.006758965738649425
2013-01-29,0.018762665524025834,-0.05683959712131592,0.003929636099473166,0.010731001739999524,0.010291279335390868,0.003582632784614459,-0.021412280355339597,0.016672811394297105,0.0019825081409663436,0.007133898736805699
2013-01-30,-0.003142087469238053,0.04766657303918187,0.00019874283931486936,-0.004301056190239239,0.0002127271762428773,-0.005711783328319453,-0.0016198759003576146,0.001067033736538603,-0.010532468541079254,-0.011878547578078047
2013-01-31,-0.0029336329568339092,-0.026616800737933377,0.002467369248249529,-0.0022944014104833155,-0.001697995345910308,-0.014362940194022955,-0.004870452166731765,0.0010653047175308572,0.01870864988987031,-0.007720348221068707
2013-02-01,-0.004105208018188922,-0.0018832104895413204,0.026347032911303803,0.0035176575165596358,0.017003173241713743,0.017486393828529456,0.008972618037677904,0.010111767512462455,0.004115913033298835,0.0007776850379961342
2013-02-04,-0.024911265884360434,-0.018943426743993186,-0.021377004128216637,-0.0009438224127199524,-0.0035524436725071773,-0.017543958274933935,-0.01697631992006221,-0.008825152489141397,-0.012045836859071679,-0.009884149683718424
2013-02-05,0.035087989829468924,0.026578967852759483,0.008853459158426391,0.007421555648605693,0.023280314823103554,0.0021865200432449328,0.023025528856397193,0.0059801684299853886,0.018384699216957623,0.006617813036097431
2013-02-06,-0.00106986511643814,-0.01749781064756384,0.005785237662487619,0.009777953326561617,-0.0036896685381472283,-0.005818056616488709,-0.00803894795681892,0.005944325196553635,0.008086613682195987,0.0005576947430649959
2013-02-07,0.02973353424224734,-0.007589024635071051,0.004908016743506494,-0.004377739904488087,-0.00781728928622305,-0.0021947784755604882,-0.004050947581281217,0.0,-0.023380063016576136,-0.010872449057335865
2013-02-08,0.014437958884437219,0.006609498248512757,0.014755562744225958,0.0055958047280249,0.008293641759217651,0.009897486302714364,0.006509331596080248,-0.005252191913445947,0.004711474356361212,0.004079536890818858
2013-02-11,0.01042130440897937,-0.018095019238773102,-0.0037562150354537582,-0.0009274198260296185,0.0006172476567056773,0.011252403599553373,0.011317476903444534,0.0007918381876244052,-0.009315822649535122,-0.0037243939656214087
2013-02-12,-0.02506633509422318,0.005792938220029464,-0.0021982484378461065,0.005171345366335123,0.009864173103441454,0.0007180516336251497,-0.006394860537571989,0.0022425965454768715,0.0030069842269042635,0.00203892789426674
2013-02-13,-0.0019023797964085043,0.041631218761821964,0.002766668314782894,-0.001846570835553507,-0.009361183957192876,0.005379944443619555,-0.004826831375892016,0.0076330683957102075,-0.010864731917361814,0.0023739212365245788
2013-02-14,-0.0008987193870557686,-0.0008535538922064267,0.006335761886539615,0.001982181264556182,0.011092904766350165,0.0003569756877150887,0.029102292595791113,0.002873826866419016,0.00781719125469671,-0.001691254437763856
2013-02-15,-0.013781164376141852,-0.015413720527092445,0.006435347228532562,0.004617061989382387,-0.006907569048356654,-0.0010702903766089955,0.0,-0.003125804123796372,0.012887170680695004,-0.0018078741657265862
2013-02-19,-0.00036936915854857144,0.017578919974031493,0.017606496026052465,0.010504367095785394,0.01166104825326153,0.00971928941848188,-0.0133542212025759,0.010974727764722747,-0.002405509224320701,0.010864608809740828
2013-02-20,-0.024217907592057886,-0.012381821281400307,-0.017834697803362887,-0.004028223005481779,-0.016986996946361632,-0.006416875695008706,-0.014330926823481138,-0.0038770120247867412,-0.013895327477087882,-0.003918295138518935
2013-02-21,-0.006215776439082221,-0.0017642312109411584,0.0038739779684422437,0.002870494890601538,-0.007405546958642151,-0.013634800518182555,-0.007269748630522654,-0.0005188316361084411,0.012997044679397884,-0.004271052794736829
2013-02-22,0.010648846096999565,-0.001955330000935951,0.00525436770946941,-0.00013155671866227348,0.013678618319288072,0.009821732883163126,0.018714446739966695,-0.0006491284733076697,0.012639736306819138,0.006885524032699264
2013-02-25,-0.01776804120337039,-0.020910267086299617,-0.011178983541710097,-0.008918236304644944,-0.024739274370484732,-0.014048952898627065,-0.017572150855935664,-0.013898035633802874,-0.022203698162068464,-0.01681613671216653
2013-02-26,0.013933961314364307,-0.0019624692616453387,-0.0008095125946546711,0.0023823615236888696,-0.0020967327822957182,0.0,0.011860891405578,0.0021078407888659445,0.012444410594982136,0.009236114175855015
2013-02-27,-0.009800229928121795,0.014998454912341863,0.012213349999284695,0.007524592125506935,0.035294304395203646,0.01607575425813823,0.01859363873280162,0.00880607869263672,0.012925870813542018,0.011524095321219452
2013-02-28,-0.0071305808314451324,0.0038746165196892335,0.0017755744297669462,-0.0027515065396052085,-0.007305303051277745,-0.0003595602166218681,0.0047618522892214354,-0.007426696909806796,-0.00769421192858788,0.00022334414186264695
2013-03-01,-0.024761692201410446,0.0055624686448036975,0.00622806479590543,0.00775191051896984,-0.00020423322812390676,0.00539585243494467,0.003949454536998465,0.004069871311594753,-0.0035298975227187057,-0.0013396929827269588
2013-03-04,-0.024206304724638028,0.027733929238038746,0.018990599745166703,0.006518721377182901,0.0038845582031894477,0.007155857959663781,-0.003933917707859003,0.0024834224347369815,0.008982931909569114,-0.005367706360945856
2013-03-05,0.02640150190507229,0.009080560353045497,0.02081552958222921,0.005958607895485191,0.007942870231911536,0.007104596392156104,0.011058330538261218,0.004825350957491814,0.00495261758234955,0.0074199515764845625
